DATE,AWAY_TEAM,HOME_TEAM
Oct 18 2022,PHI,BOS
Oct 18 2022,LAL,GSW
Oct 19 2022,ORL,DET
Oct 19 2022,WAS,IND
Oct 19 2022,HOU,ATL
Oct 19 2022,NOP,BRK
Oct 19 2022,NYK,MEM
Oct 19 2022,CHI,MIA
Oct 19 2022,CLE,TOR
Oct 19 2022,OKC,MIN
Oct 19 2022,CHO,SAS
Oct 19 2022,DEN,UTA
Oct 19 2022,DAL,PHO
Oct 19 2022,POR,SAC
Oct 20 2022,MIL,PHI
Oct 20 2022,LAC,LAL
Oct 21 2022,NOP,CHO
Oct 21 2022,SAS,IND
Oct 21 2022,CHI,WAS
Oct 21 2022,ORL,ATL
Oct 21 2022,TOR,BRK
Oct 21 2022,BOS,MIA
Oct 21 2022,DET,NYK
Oct 21 2022,MEM,HOU
Oct 21 2022,UTA,MIN
Oct 21 2022,DEN,GSW
Oct 21 2022,PHO,POR
Oct 22 2022,SAS,PHI
Oct 22 2022,DET,IND
Oct 22 2022,BOS,ORL
Oct 22 2022,CLE,CHI
Oct 22 2022,TOR,MIA
Oct 22 2022,HOU,MIL
Oct 22 2022,MEM,DAL
Oct 22 2022,OKC,DEN
Oct 22 2022,LAC,SAC
Oct 23 2022,POR,LAL
Oct 23 2022,CHO,ATL
Oct 23 2022,WAS,CLE
Oct 23 2022,UTA,NOP
Oct 23 2022,MIN,OKC
Oct 23 2022,SAC,GSW
Oct 23 2022,PHO,LAC
Oct 24 2022,IND,PHI
Oct 24 2022,TOR,MIA
Oct 24 2022,ORL,NYK
Oct 24 2022,BOS,CHI
Oct 24 2022,UTA,HOU
Oct 24 2022,BRK,MEM
Oct 24 2022,SAS,MIN
Oct 24 2022,DEN,POR
Oct 25 2022,DET,WAS
Oct 25 2022,DAL,NOP
Oct 25 2022,LAC,OKC
Oct 25 2022,GSW,PHO
Oct 26 2022,ORL,CLE
Oct 26 2022,ATL,DET
Oct 26 2022,BRK,MIL
Oct 26 2022,CHO,NYK
Oct 26 2022,PHI,TOR
Oct 26 2022,IND,CHI
Oct 26 2022,SAS,MIN
Oct 26 2022,HOU,UTA
Oct 26 2022,LAL,DEN
