TEAM,WP,PT_DIFF,EXPECTED_WIN
ATL,0.5,0.1,41.2
BOS,0.695,6.9,57.2
BRK,0.549,1,43.5
CHI,0.488,1.3,44.2
CHO,0.329,-6.2,25.9
CLE,0.622,5.8,55
DAL,0.463,0.3,41.7
DEN,0.646,3.8,50.1
DET,0.207,-8.6,21.2
GSW,0.537,2.4,46.9
HOU,0.268,-8.6,21.3
IND,0.427,-4.1,31.2
LAC,0.537,-0.3,40.2
LAL,0.524,0.4,42.1
MEM,0.622,5,53.2
MIA,0.537,-0.1,40.8
MIL,0.707,4.4,51.9
MIN,0.512,0.5,42.3
NOP,0.512,1.8,45.6
NYK,0.573,3.4,49.3
OKC,0.488,0.6,42.6
ORL,0.415,-2.4,34.9
PHI,0.659,4.3,51.4
PHO,0.549,1.3,44.2
POR,0.402,-3.8,31.8
SAC,0.585,2.4,46.8
SAS,0.268,-9.9,19
TOR,0.5,1.5,44.8
UTA,0.451,-0.9,38.9
WAS,0.427,-1.7,36.9
