DATE,AWAY_TEAM,HOME_TEAM,AWAY_WT,HOME_WT
10/21/25,HOU,OKC,0.712356322,0.177873563
10/21/25,GSW,LAL,0.922569444,0.039930556
10/22/25,BRK,CHO,0.043055556,0.895486111
10/22/25,CLE,NYK,0.070833333,0.892013889
10/22/25,MIA,ORL,0.562847222,0.336458333
10/22/25,PHI,BOS,0.273611111,0.650694444
10/22/25,TOR,ATL,0.962847222,0.011458333
10/22/25,DET,CHI,0.004513889,0.930208333
10/22/25,NOP,MEM,0.6125,0.331597222
10/22/25,WAS,MIL,0,0.98125
10/22/25,LAC,UTA,0,0.990625
10/22/25,SAS,DAL,0.699652778,0.252083333
10/22/25,MIN,POR,0.075,0.89375
10/22/25,SAC,PHO,0.679513889,0.301388889
10/23/25,OKC,IND,0.454310345,0.384770115
10/23/25,DEN,GSW,0.674213836,0.232704403
10/24/25,MIL,TOR,0.45,0.432986111
10/24/25,ATL,ORL,0.182986111,0.730555556
10/24/25,CLE,BRK,0.977777778,0
10/24/25,BOS,NYK,0.29375,0.663194444
10/24/25,DET,HOU,0.701041667,0.203125
10/24/25,SAS,NOP,0.813836478,0.10754717
10/24/25,MIA,MEM,0.933333333,0.056944444
10/24/25,WAS,DAL,0.686458333,0.296875
10/24/25,MIN,LAL,0.441319444,0.5125
10/24/25,GSW,POR,0.227777778,0.703125
10/24/25,UTA,SAC,0.265625,0.597916667
10/24/25,PHO,LAC,0.136111111,0.80625
10/25/25,CHI,ORL,0.744444444,0.195486111
10/25/25,OKC,ATL,0.934722222,0
10/25/25,CHO,PHI,0.457291667,0.502430556
10/25/25,IND,MEM,0.031944444,0.949305556
10/25/25,PHO,DEN,0,0.986111111
10/26/25,BRK,SAS,0.170486111,0.788194444
10/26/25,BOS,DET,0.446527778,0.486805556
10/26/25,CHO,WAS,0.471180556,0.470486111
10/26/25,NYK,MIA,0.198611111,0.652083333
10/26/25,MIL,CLE,0.120138889,0.737847222
10/26/25,IND,MIN,0.180555556,0.699652778
10/26/25,TOR,DAL,0.275694444,0.594097222
10/26/25,LAL,SAC,0.659722222,0.248958333
10/26/25,POR,LAC,0.234722222,0.677430556
10/27/25,CLE,DET,0.847222222,0.136111111
10/27/25,ORL,PHI,0.014930556,0.951736111
10/27/25,ATL,CHI,0.617708333,0.311111111
10/27/25,BRK,HOU,0.069097222,0.884375
10/27/25,BOS,NOP,0.989930556,0.007986111
10/27/25,TOR,SAS,0,0.993402778
10/27/25,OKC,DAL,0.987152778,0
10/27/25,PHO,UTA,0.046226415,0.895283019
10/27/25,DEN,MIN,0.720486111,0.259722222
10/27/25,MEM,GSW,0.156597222,0.788888889
10/27/25,POR,LAL,0.730208333,0.206944444
10/28/25,PHI,WAS,0.150314465,0.808176101
10/28/25,CHO,MIA,0.170486111,0.8
10/28/25,NYK,MIL,0.433333333,0.446527778
10/28/25,SAC,OKC,0.8125,0.165972222
10/28/25,LAC,GSW,0.100694444,0.873263889
