,QUARTER,TIME_REMAINING,AWAY_SCORE,HOME_SCORE,POINT_DIFF,TIME_ELAPSED,indicator
0,1,2023-04-01 12:00:00,0,0,0,0 days 00:24:00,24
1,1,2023-04-01 11:36:00,0,0,0,0 days 00:01:00,1
2,1,2023-04-01 11:35:00,0,0,0,0 days 00:22:00,22
3,1,2023-04-01 11:13:00,0,0,0,0 days 00:02:00,2
4,1,2023-04-01 11:11:00,0,0,0,0 days 00:03:00,3
5,1,2023-04-01 11:08:00,0,2,-2,0 days 00:18:00,18
6,1,2023-04-01 10:50:00,0,2,-2,0 days 00:02:00,2
7,1,2023-04-01 10:48:00,0,2,-2,0 days 00:06:00,6
8,1,2023-04-01 10:42:00,0,2,-2,0 days 00:02:00,2
9,1,2023-04-01 10:40:00,0,2,-2,0 days 00:07:00,7
10,1,2023-04-01 10:33:00,2,2,0,0 days 00:18:00,18
11,1,2023-04-01 10:15:00,2,2,0,0 days 00:04:00,4
12,1,2023-04-01 10:11:00,2,2,0,0 days 00:12:00,12
13,1,2023-04-01 09:59:00,2,2,0,0 days 00:17:00,17
14,1,2023-04-01 09:42:00,2,2,0,0 days 00:12:00,12
15,1,2023-04-01 09:30:00,2,2,0,0 days 00:03:00,3
16,1,2023-04-01 09:27:00,2,2,0,0 days 00:00:00,0
17,1,2023-04-01 09:27:00,3,2,1,0 days 00:00:00,0
18,1,2023-04-01 09:27:00,4,2,2,0 days 00:16:00,16
19,1,2023-04-01 09:11:00,4,2,2,0 days 00:00:00,0
20,1,2023-04-01 09:11:00,4,3,1,0 days 00:00:00,0
21,1,2023-04-01 09:11:00,4,4,0,0 days 00:15:00,15
22,1,2023-04-01 08:56:00,6,4,2,0 days 00:16:00,16
23,1,2023-04-01 08:40:00,6,4,2,0 days 00:00:00,0
24,1,2023-04-01 08:40:00,6,4,2,0 days 00:10:00,10
25,1,2023-04-01 08:30:00,6,4,2,0 days 00:00:00,0
26,1,2023-04-01 08:30:00,6,4,2,0 days 00:00:00,0
27,1,2023-04-01 08:30:00,6,4,2,0 days 00:18:00,18
28,1,2023-04-01 08:12:00,6,4,2,0 days 00:08:00,8
29,1,2023-04-01 08:04:00,6,7,-1,0 days 00:17:00,17
30,1,2023-04-01 07:47:00,6,7,-1,0 days 00:18:00,18
