Team,Point Diff,W,L,WP,WT,LT,TT
Atlanta,0.1,3,4,0.429,0.512,0.441,0.047
Boston,6.9,11,9,0.55,0.628,0.316,0.056
Brooklyn,1,0,4,0,0.489,0.457,0.054
Cleveland,5.8,1,4,0.2,0.533,0.416,0.051
Denver,3.8,16,4,0.8,0.548,0.399,0.053
Golden State,2.4,6,7,0.462,0.477,0.47,0.053
LA Clippers,-0.3,1,4,0.2,0.466,0.471,0.063
LA Lakers,0.4,9,8,0.529,0.46,0.479,0.06
Memphis,5,2,4,0.333,0.628,0.319,0.052
Miami,-0.1,14,11,0.56,0.457,0.474,0.069
Milwaukee,4.4,1,4,0.2,0.614,0.336,0.051
Minnesota,0.5,2,5,0.286,0.543,0.397,0.06
New York,3.4,6,5,0.545,0.54,0.402,0.058
Philadelphia,4.3,7,4,0.636,0.517,0.425,0.058
Phoenix,1.3,6,5,0.545,0.547,0.397,0.056
Sacramento,2.4,3,4,0.429,0.49,0.45,0.06
