,DATE,AWAY_TEAM,HOME_TEAM,AWAY_WP,HOME_WP
0,10/20/22,MIL,PHI,0.850694444,0.023958333
1,10/20/22,LAC,LAL,0.811805556,0.085069444
2,10/21/22,NOP,CHO,0.981597222,0
3,10/21/22,SAS,IND,0.993402778,0
4,10/21/22,CHI,WAS,0.268402778,0.678819444
5,10/21/22,ORL,ATL,0.502777778,0.376041667
6,10/21/22,TOR,BRK,0.387847222,0.527083333
7,10/21/22,BOS,MIA,0.832638889,0.124652778
8,10/21/22,DET,NYK,0.021875,0.950347222
9,10/21/22,MEM,HOU,0.329166667,0.567361111
10,10/21/22,UTA,MIN,0.29245283,0.649685535
11,10/21/22,DEN,GSW,0.891319444,0.067708333
12,10/21/22,PHO,POR,0.746855346,0.116981132
,,,,,
,,,,,
