DATE,AWAY_TEAM,HOME_TEAM
10/22/24,NYK,BOS
10/22/24,MIN,LAL
10/23/24,IND,DET
10/23/24,BRK,ATL
10/23/24,ORL,MIA
10/23/24,MIL,PHI
10/23/24,CLE,TOR
10/23/24,CHO,HOU
10/23/24,CHI,NOP
10/23/24,MEM,UTA
10/23/24,PHO,LAC
10/23/24,GSW,POR
10/24/24,BOS,WAS
10/24/24,SAS,DAL
10/24/24,MIN,SAC
10/24/24,OKC,DEN
10/25/24,BRK,ORL
10/25/24,PHI,TOR
10/25/24,CHO,ATL
10/25/24,DET,CLE
10/25/24,IND,NYK
10/25/24,MEM,HOU
10/25/24,CHI,MIL
10/25/24,GSW,UTA
10/25/24,PHO,LAL
10/25/24,NOP,POR
10/26/24,LAC,DEN
10/26/24,CLE,WAS
10/26/24,BOS,DET
10/26/24,MIA,CHO
10/26/24,ORL,MEM
10/26/24,TOR,MIN
10/26/24,OKC,CHI
10/26/24,HOU,SAS
10/26/24,DAL,PHO
10/26/24,SAC,LAL
10/27/24,PHI,IND
10/27/24,NOP,POR
10/27/24,MIL,BRK
10/27/24,ATL,OKC
10/27/24,LAC,GSW
10/28/24,IND,ORL
10/28/24,WAS,ATL
10/28/24,MIL,BOS
10/28/24,DEN,TOR
10/28/24,DET,MIA
10/28/24,CLE,NYK
10/28/24,HOU,SAS
10/28/24,CHI,MEM
10/28/24,UTA,DAL
10/28/24,POR,SAC
10/28/24,LAL,PHO
10/29/24,DEN,BRK
10/29/24,DAL,MIN
10/29/24,SAC,UTA
10/29/24,NOP,GSW
10/30/24,DET,PHI
10/30/24,ATL,WAS
10/30/24,BOS,IND
10/30/24,LAL,CLE
10/30/24,TOR,CHO
10/30/24,NYK,MIA
10/30/24,ORL,CHI
10/30/24,BRK,MEM
10/30/24,SAS,OKC
10/30/24,NOP,GSW
10/30/24,POR,LAC
10/31/24,MIL,MEM
10/31/24,HOU,DAL
10/31/24,SAS,UTA
10/31/24,PHO,LAC
11/1/24,BOS,CHO
11/1/24,ORL,CLE
11/1/24,NYK,DET
11/1/24,SAC,ATL
11/1/24,CHI,BRK
11/1/24,LAL,TOR
11/1/24,IND,NOP
11/1/24,DEN,MIN
11/1/24,OKC,POR
11/2/24,BOS,CHO
11/2/24,MEM,PHI
11/2/24,SAC,TOR
11/2/24,GSW,HOU
11/2/24,CLE,MIL
11/2/24,MIN,SAS
11/2/24,MIA,WAS
11/2/24,UTA,DEN
11/2/24,POR,PHO
11/2/24,OKC,LAC
11/3/24,DET,BRK
11/3/24,ATL,NOP
11/3/24,ORL,DAL
11/4/24,MIL,CLE
11/4/24,GSW,WAS
11/4/24,LAL,DET
11/4/24,BOS,ATL
11/4/24,MEM,BRK
11/4/24,SAC,MIA
11/4/24,UTA,CHI
11/4/24,NYK,HOU
11/4/24,CHO,MIN
11/4/24,ORL,OKC
11/4/24,POR,NOP
11/4/24,IND,DAL
11/4/24,TOR,DEN
11/4/24,PHI,PHO
11/4/24,SAS,LAC
11/6/24,DET,CHO
11/6/24,ORL,IND
11/6/24,NYK,ATL
11/6/24,GSW,BOS
11/6/24,SAS,HOU
11/6/24,LAL,MEM
11/6/24,CLE,NOP
11/6/24,CHI,DAL
11/6/24,OKC,DEN
11/6/24,MIA,PHO
11/6/24,PHI,LAC
11/6/24,TOR,SAC
11/7/24,MIN,CHI
11/7/24,UTA,MIL
11/7/24,POR,SAS
11/8/24,IND,CHO
11/8/24,ATL,DET
11/8/24,NOP,ORL
11/8/24,BRK,BOS
11/8/24,GSW,CLE
11/8/24,PHO,DAL
11/8/24,MIL,NYK
11/8/24,WAS,MEM
11/8/24,HOU,OKC
11/8/24,MIA,DEN
11/8/24,POR,MIN
11/8/24,PHI,LAL
11/8/24,LAC,SAC
11/9/24,UTA,SAS
11/9/24,CHI,ATL
11/9/24,BRK,CLE
11/9/24,TOR,LAC
11/10/24,HOU,DET
11/10/24,BOS,MIL
11/10/24,NYK,IND
11/10/24,WAS,ORL
11/10/24,MIA,MIN
11/10/24,GSW,OKC
11/10/24,CHO,PHI
11/10/24,DAL,DEN
11/10/24,SAC,PHO
11/10/24,MEM,POR
11/10/24,TOR,LAL
11/11/24,CLE,CHI
11/11/24,WAS,HOU
11/11/24,BRK,NOP
11/11/24,LAC,OKC
11/11/24,SAC,SAS
11/12/24,ATL,BOS
11/12/24,MIA,DET
11/12/24,CHO,ORL
11/12/24,NYK,PHI
11/12/24,TOR,MIL
11/12/24,PHO,UTA
11/12/24,DAL,GSW
11/12/24,MIN,POR
11/13/24,IND,ORL
11/13/24,BOS,BRK
11/13/24,CHI,NYK
11/13/24,NOP,OKC
11/13/24,CLE,PHI
11/13/24,LAC,HOU
11/13/24,DET,MIL
11/13/24,WAS,SAS
11/13/24,MEM,LAL
11/13/24,MIN,POR
11/13/24,PHO,SAC
11/14/24,DAL,UTA
11/15/24,MIA,IND
11/15/24,PHI,ORL
11/15/24,DET,TOR
11/15/24,WAS,ATL
11/15/24,CHI,CLE
11/15/24,BRK,NYK
11/15/24,LAL,SAS
11/15/24,LAC,HOU
11/15/24,DEN,NOP
11/15/24,PHO,OKC
11/15/24,MEM,GSW
11/15/24,MIN,SAC
11/16/24,MIL,CHO
11/16/24,TOR,BOS
11/16/24,LAL,NOP
11/16/24,SAS,DAL
11/16/24,UTA,SAC
11/17/24,PHO,MIN
11/17/24,MIA,IND
11/17/24,CHO,CLE
11/17/24,DEN,MEM
11/17/24,ATL,POR
11/17/24,DET,WAS
11/17/24,HOU,CHI
11/17/24,BRK,NYK
11/17/24,DAL,OKC
11/17/24,UTA,LAC
11/18/24,CHI,DET
11/18/24,PHI,MIA
11/18/24,WAS,NYK
11/18/24,IND,TOR
11/18/24,HOU,MIL
11/18/24,ORL,PHO
11/18/24,ATL,SAC
11/18/24,GSW,LAC
11/19/24,CLE,BOS
11/19/24,CHO,BRK
11/19/24,DEN,MEM
11/19/24,NOP,DAL
11/19/24,OKC,SAS
11/19/24,UTA,LAL
11/20/24,NOP,CLE
11/20/24,CHI,MIL
11/20/24,IND,HOU
11/20/24,PHI,MEM
11/20/24,POR,OKC
11/20/24,ATL,GSW
11/20/24,NYK,PHO
11/20/24,ORL,LAC
11/21/24,DET,CHO
11/21/24,MIN,TOR
11/21/24,UTA,SAS
11/21/24,ORL,LAL
11/22/24,BRK,PHI
11/22/24,BOS,WAS
11/22/24,IND,MIL
11/22/24,ATL,CHI
11/22/24,POR,HOU
11/22/24,GSW,NOP
11/22/24,DAL,DEN
11/22/24,SAC,LAC
11/23/24,NYK,UTA
11/23/24,DET,ORL
11/23/24,MEM,CHI
11/23/24,POR,HOU
11/23/24,CHO,MIL
11/23/24,GSW,SAS
11/23/24,DEN,LAL
11/24/24,MIN,BOS
11/24/24,WAS,IND
11/24/24,DAL,MIA
11/24/24,LAC,PHI
11/24/24,TOR,CLE
11/24/24,BRK,SAC
11/25/24,ORL,CHO
11/25/24,TOR,DET
11/25/24,NOP,IND
11/25/24,DAL,ATL
11/25/24,LAC,BOS
11/25/24,POR,MEM
11/25/24,NYK,DEN
11/25/24,BRK,GSW
11/25/24,OKC,SAC
11/26/24,CHI,WAS
11/26/24,MIL,MIA
11/26/24,HOU,MIN
11/26/24,SAS,UTA
11/26/24,LAL,PHO
11/27/24,MIA,CHO
11/27/24,ATL,CLE
11/27/24,POR,IND
11/27/24,CHI,ORL
11/27/24,HOU,PHI
11/27/24,LAC,WAS
11/27/24,NYK,DAL
11/27/24,DET,MEM
11/27/24,SAC,MIN
11/27/24,TOR,NOP
11/27/24,LAL,SAS
11/27/24,BRK,PHO
11/27/24,DEN,UTA
11/27/24,OKC,GSW
11/29/24,NYK,CHO
11/29/24,CLE,ATL
11/29/24,NOP,MEM
11/29/24,ORL,BRK
11/29/24,LAC,MIN
11/29/24,BOS,CHI
11/29/24,DET,IND
11/29/24,TOR,MIA
11/29/24,OKC,LAL
11/29/24,SAC,POR
11/30/24,ATL,CHO
11/30/24,PHI,DET
11/30/24,WAS,MIL
11/30/24,GSW,PHO
11/30/24,DAL,UTA
12/1/24,ORL,BRK
12/1/24,IND,MEM
12/1/24,BOS,CLE
12/1/24,NOP,NYK
12/1/24,MIA,TOR
12/1/24,OKC,HOU
12/1/24,LAL,UTA
12/1/24,DAL,POR
12/1/24,SAS,SAC
12/1/24,DEN,LAC
12/2/24,NOP,ATL
12/2/24,MIA,BOS
12/2/24,BRK,CHI
12/2/24,LAL,MIN
12/3/24,PHI,CHO
12/3/24,WAS,CLE
12/3/24,MIL,DET
12/3/24,ORL,NYK
12/3/24,IND,TOR
12/3/24,UTA,OKC
12/3/24,MEM,DAL
12/3/24,SAS,PHO
12/3/24,GSW,DEN
12/3/24,HOU,SAC
12/3/24,POR,LAC
12/4/24,DET,BOS
12/4/24,IND,BRK
12/4/24,LAL,MIA
12/4/24,ORL,PHI
12/4/24,ATL,MIL
12/4/24,MIN,LAC
12/5/24,DEN,CLE
12/5/24,DAL,WAS
12/5/24,CHO,NYK
12/5/24,OKC,TOR
12/5/24,SAC,MEM
12/5/24,PHO,NOP
12/5/24,CHI,SAS
12/5/24,HOU,GSW
12/6/24,ORL,PHI
12/6/24,LAL,ATL
12/6/24,MIL,BOS
12/6/24,IND,CHI
12/6/24,SAC,SAS
12/6/24,MIN,GSW
12/6/24,UTA,POR
12/7/24,CLE,CHO
12/7/24,OKC,NOP
12/7/24,DEN,WAS
12/7/24,DET,NYK
12/7/24,DAL,TOR
12/7/24,MEM,BOS
12/7/24,PHO,MIA
12/8/24,PHI,CHI
12/8/24,MIL,BRK
12/8/24,CHO,IND
12/8/24,DEN,ATL
12/8/24,CLE,MIA
12/8/24,PHO,ORL
12/8/24,NOP,SAS
12/8/24,MEM,WAS
12/8/24,MIN,GSW
12/8/24,HOU,LAC
12/8/24,UTA,SAC
12/8/24,POR,LAL
12/9/24,NYK,TOR
12/19/24,UTA,DET
12/19/24,OKC,ORL
12/19/24,CHO,WAS
12/19/24,CHI,BOS
12/19/24,BRK,TOR
12/19/24,NOP,HOU
12/19/24,GSW,MEM
12/19/24,NYK,MIN
12/19/24,LAC,DAL
12/19/24,IND,PHO
12/19/24,ATL,SAS
12/19/24,DEN,POR
12/19/24,LAL,SAC
12/20/24,CHO,PHI
12/20/24,MIL,CLE
12/20/24,OKC,MIA
12/21/24,LAL,SAC
12/21/24,MIA,ORL
12/21/24,MEM,ATL
12/21/24,UTA,BRK
12/21/24,BOS,CHI
12/21/24,PHI,CLE
12/21/24,WAS,MIL
12/21/24,GSW,MIN
12/21/24,NYK,NOP
12/21/24,LAC,DAL
12/21/24,POR,SAS
12/21/24,DET,PHO
12/22/24,IND,SAC
12/22/24,HOU,TOR
12/22/24,DEN,NOP
12/23/24,HOU,CHO
12/23/24,UTA,CLE
12/23/24,BOS,ORL
12/23/24,SAS,PHI
12/23/24,MIN,ATL
12/23/24,BRK,MIA
12/23/24,TOR,NYK
12/23/24,MIL,CHI
12/23/24,LAC,MEM
12/23/24,WAS,OKC
12/23/24,POR,DAL
12/23/24,PHO,DEN
12/23/24,IND,GSW
12/23/24,DET,LAL
12/25/24,SAS,NYK
12/25/24,MIN,DAL
12/25/24,PHI,BOS
12/25/24,LAL,GSW
12/25/24,DEN,PHO
12/26/24,OKC,IND
12/26/24,MIA,ORL
12/26/24,CHO,WAS
12/26/24,CHI,ATL
12/26/24,TOR,MEM
12/26/24,BRK,MIL
12/26/24,HOU,NOP
12/26/24,UTA,POR
12/26/24,DET,SAC
12/27/24,NYK,ORL
12/27/24,IND,BOS
12/27/24,SAS,BRK
12/27/24,MIN,HOU
12/27/24,MEM,NOP
12/27/24,CLE,DEN
12/27/24,DAL,PHO
12/27/24,GSW,LAC
12/28/24,MIA,ATL
12/28/24,OKC,CHO
