,TEAM,WT,LT,TIE_PC,PT_DIFF,Wins,Losses,WP,EXPECTED_WIN,EXPECTED_WP,WT_v_WP,WT_v_EXP_WP
0,ATL,0.5210542929292928,0.4331439393939394,0.04580176767676769,-4.3,4,7,0.364,30.7,0.374390243902439,0.15705429292929285,0.14666404902685382
1,BOS,0.6313404088050315,0.30685469077568134,0.06180490041928718,14.2,8,2,0.8,69.3,0.8451219512195122,-0.16865959119496854,-0.21378154241448066
2,BRK,0.5516548742138365,0.36605935534591194,0.08228577044025155,-0.7,4,6,0.4,39.3,0.4792682926829268,0.1516548742138365,0.07238658153090971
3,CHI,0.21534722222222222,0.7446875,0.03996527777777779,-5.3,4,6,0.4,27.9,0.34024390243902436,-0.1846527777777778,-0.12489668021680214
4,CHO,0.26439043209876545,0.6719521604938271,0.06365740740740744,-3.7,4,5,0.444,31.8,0.3878048780487805,-0.17960956790123456,-0.12341444595001505
5,CLE,0.7248421717171717,0.22269570707070707,0.05246212121212124,13.8,11,0,1.0,68.8,0.8390243902439024,-0.2751578282828283,-0.11418221852673072
6,DAL,0.45763888888888893,0.4912422839506173,0.0511188271604938,6.8,5,4,0.556,57.6,0.702439024390244,-0.09836111111111112,-0.24480013550135504
7,DEN,0.3827808350803634,0.5667882308409038,0.05043093407873283,4.1,6,3,0.667,50.9,0.6207317073170732,-0.2842191649196366,-0.23795087223670974
8,DET,0.5105555555555555,0.4368402777777778,0.052604166666666674,-2.8,4,7,0.364,33.8,0.4121951219512195,0.14655555555555555,0.09836043360433605
9,GSW,0.6168915967854647,0.3552068774749592,0.02790152573957605,9.6,7,2,0.778,63.0,0.7682926829268293,-0.16110840321453535,-0.1514010861413646
10,HOU,0.585376630561379,0.3681647449336129,0.046458624505008164,4.7,6,4,0.6,52.7,0.6426829268292683,-0.01462336943862097,-0.0573062962678893
11,IND,0.5006143722338691,0.4251965408805031,0.07418908688562777,-4.2,4,5,0.444,30.9,0.37682926829268293,0.05661437223386906,0.12378510394118614
12,LAC,0.6488390985324948,0.2860239779874214,0.06513692348008385,2.3,6,4,0.6,47.0,0.573170731707317,0.048839098532494796,0.07566836682517775
13,LAL,0.5177854938271605,0.451466049382716,0.030748456790123464,-1.8,5,4,0.556,36.6,0.44634146341463415,-0.0382145061728395,0.0714440304125264
14,MEM,0.7330208333333333,0.21774305555555556,0.04923611111111111,7.1,6,4,0.6,57.7,0.7036585365853659,0.13302083333333337,0.02936229674796742
15,MIA,0.542578125,0.38710937500000003,0.07031249999999999,-3.0,3,5,0.375,33.5,0.40853658536585363,0.16757812500000002,0.1340415396341464
16,MIL,0.34251543209876545,0.5822916666666667,0.07519290123456791,-7.5,2,7,0.222,23.5,0.2865853658536585,0.12051543209876545,0.055930066245106935
17,MIN,0.4835648148148148,0.46477623456790124,0.051658950617283955,6.2,6,3,0.667,55.7,0.6792682926829269,-0.18343518518518526,-0.1957034778681121
18,NOP,0.3350694444444444,0.6149305555555555,0.05000000000000001,-11.4,3,7,0.3,16.3,0.19878048780487806,0.03506944444444443,0.13628895663956636
19,NYK,0.48511284722222225,0.4658420138888889,0.04904513888888888,6.4,4,4,0.5,55.8,0.6804878048780487,-0.014887152777777746,-0.19537495765582646
20,OKC,0.7755401234567901,0.1798611111111111,0.044598765432098744,17.0,8,1,0.889,74.2,0.9048780487804878,-0.11345987654320988,-0.1293379253236977
21,ORL,0.3902083333333334,0.5695833333333333,0.04020833333333333,-1.9,4,6,0.4,36.0,0.43902439024390244,-0.009791666666666643,-0.04881605691056906
22,PHI,0.24000753406708597,0.692420073375262,0.06757239255765199,-11.3,1,7,0.125,16.3,0.19878048780487806,0.11500753406708597,0.04122704626220791
23,PHO,0.5235528767761473,0.38698171441882134,0.08946540880503145,2.9,8,1,0.889,48.2,0.5878048780487806,-0.36544712322385275,-0.06425200127263331
24,POR,0.2561111111111111,0.6981944444444445,0.04569444444444447,-7.8,3,7,0.3,22.2,0.2707317073170732,-0.043888888888888866,-0.014620596205962066
25,SAC,0.5073418937805729,0.4390191882133706,0.053638918006056385,5.4,5,4,0.556,54.0,0.6585365853658537,-0.04865810621942712,-0.15119469158528076
26,SAS,0.44312500000000005,0.49368055555555557,0.06319444444444443,-3.7,4,6,0.4,31.6,0.3853658536585366,0.043125000000000024,0.05775914634146345
27,TOR,0.42228183962264154,0.5331512054507337,0.04456695492662475,-6.4,2,8,0.2,26.1,0.3182926829268293,0.22228183962264153,0.10398915669581227
28,UTA,0.2951388888888889,0.6536265432098766,0.05123456790123456,-13.3,2,7,0.222,13.0,0.15853658536585366,0.07313888888888889,0.13660230352303523
29,WAS,0.1322420634920635,0.8345734126984128,0.033184523809523796,-14.0,2,5,0.28600000000000003,12.5,0.1524390243902439,-0.15375793650793654,-0.020196960898180405
