,TEAM,WT,LT,TIE_PC,PT_DIFF,Wins,Losses,WP,EXPECTED_WIN,EXPECTED_WP,WT_v_WP,WT_v_EXP_WP
0,ATL,0.521054292909091,0.4331439394545455,0.04580176763636363,-4.3,4,7,0.364,30.7,0.374390243902439,0.157054292909091,0.14666404900665198
1,BOS,0.5968940586363636,0.3392176480909091,0.06388829327272726,13.5,9,2,0.818,68.4,0.8341463414634147,-0.22110594136363637,-0.23725228282705113
2,BRK,0.5516548742,0.3660593554,0.08228577039999999,-0.7,4,6,0.4,39.3,0.4792682926829268,0.1516548742,0.07238658151707322
3,CHI,0.2153472223,0.7446874998,0.0399652779,-5.3,4,6,0.4,27.9,0.34024390243902436,-0.18465277770000002,-0.12489668013902436
4,CHO,0.2750268605,0.6606060012,0.06436713830000003,-3.7,4,6,0.4,31.9,0.3890243902439024,-0.1249731395,-0.11399752974390237
5,CLE,0.724842171909091,0.222695707,0.05246212109090913,13.8,11,0,1.0,68.8,0.8390243902439024,-0.27515782809090905,-0.11418221833481146
6,DAL,0.4391319444,0.5025000001,0.0583680555,5.8,5,5,0.5,55.1,0.6719512195121952,-0.060868055600000026,-0.2328192751121952
7,DEN,0.404884696,0.5373663521,0.0577489519,4.0,7,3,0.7,50.7,0.6182926829268293,-0.29511530399999997,-0.21340798692682927
8,DET,0.49851641418181813,0.44804292927272726,0.05344065654545454,-2.8,4,7,0.364,33.8,0.4121951219512195,0.13451641418181814,0.08632129223059865
9,GSW,0.6214524371,0.3504500785,0.028097484400000018,9.8,8,2,0.8,63.3,0.7719512195121951,-0.17854756290000007,-0.15049878241219516
10,HOU,0.5828459118,0.3691607704,0.047993317800000004,4.7,6,4,0.6,52.7,0.6426829268292683,-0.017154088199999973,-0.0598370150292683
11,IND,0.490414046,0.43496855349999997,0.07461740050000001,-2.8,5,5,0.5,34.3,0.41829268292682925,-0.009585954000000008,0.07212136307317074
12,LAC,0.6488390985000001,0.286023978,0.0651369235,2.3,6,4,0.6,47.0,0.573170731707317,0.04883909850000012,0.07566836679268307
13,LAL,0.4965972223,0.47406249999999994,0.029340277700000018,0.3,6,4,0.6,41.8,0.5097560975609756,-0.1034027777,-0.013158875260975644
14,MEM,0.7530303030909091,0.19996843436363634,0.04700126254545454,10.5,7,4,0.636,64.3,0.7841463414634146,0.11703030309090912,-0.031116038372505428
15,MIA,0.5431327161111111,0.38877314811111113,0.06809413577777776,-2.7,4,5,0.444,34.2,0.41707317073170735,0.09913271611111113,0.12605954537940378
16,MIL,0.3745486112,0.5493055555999999,0.07614583319999998,-7.4,2,8,0.2,23.7,0.2890243902439024,0.17454861119999998,0.08552422095609757
17,MIN,0.4754166667,0.47305555559999996,0.0515277777,5.6,6,4,0.6,54.5,0.6646341463414634,-0.12458333329999999,-0.18921747964146346
18,NOP,0.3350694443,0.6149305557,0.050000000000000024,-11.4,3,7,0.3,16.3,0.19878048780487806,0.03506944430000003,0.13628895649512196
19,NYK,0.48931327166666666,0.4583719136666667,0.05231481466666668,4.4,4,5,0.444,51.3,0.625609756097561,0.045313271666666655,-0.13629648443089432
20,OKC,0.7287499999,0.228125,0.04312500009999999,14.0,8,2,0.8,70.5,0.8597560975609756,-0.07125000010000004,-0.1310060976609756
21,ORL,0.43298611109090906,0.5237058081818181,0.04330808072727274,0.9,5,6,0.455,43.3,0.5280487804878048,-0.02201388890909095,-0.09506266939689573
22,PHI,0.27539453766666666,0.6566794782222222,0.06792598411111113,-9.6,2,7,0.222,19.0,0.23170731707317074,0.05339453766666666,0.04368722059349592
23,PHO,0.5083674005,0.3985036688,0.09312893070000003,1.5,8,2,0.8,44.9,0.547560975609756,-0.2916325995000001,-0.039193575109756074
24,POR,0.23484848481818182,0.7213699495454545,0.04378156563636366,-11.3,3,8,0.273,15.8,0.1926829268292683,-0.038151515181818196,0.04216555798891353
25,SAC,0.5068278302,0.4322870807,0.06088508909999999,5.8,6,4,0.6,55.0,0.6707317073170732,-0.09317216979999998,-0.16390387711707322
26,SAS,0.44312500009999994,0.4936805556,0.0631944443,-3.7,4,6,0.4,31.6,0.3853658536585366,0.04312500009999992,0.05775914644146335
27,TOR,0.44547717745454546,0.5124922574545455,0.04203056509090912,-7.6,2,9,0.182,23.6,0.2878048780487805,0.26347717745454546,0.15767229940576494
28,UTA,0.2951388888888889,0.6536265432222222,0.05123456788888888,-13.3,2,7,0.222,13.0,0.15853658536585366,0.07313888888888889,0.13660230352303523
29,WAS,0.12382812500000001,0.83784722225,0.03832465275000001,-16.1,2,6,0.25,10.2,0.12439024390243901,-0.126171875,-0.0005621189024389989
