DATE,AWAY_TEAM,HOME_TEAM
10/24/23,LAL,DEN
10/24/23,PHO,GSW
10/25/23,HOU,ORL
10/25/23,BOS,NYK
10/25/23,WAS,IND
10/25/23,ATL,CHO
10/25/23,DET,MIA
10/25/23,MIN,TOR
10/25/23,CLE,BRK
10/25/23,NOP,MEM
10/25/23,OKC,CHI
10/25/23,SAC,UTA
10/25/23,DAL,SAS
10/25/23,POR,LAC
10/26/23,PHI,MIL
10/26/23,PHO,LAL
10/27/23,DEN,MEM
10/27/23,DET,CHO
10/27/23,NYK,ATL
10/27/23,OKC,CLE
10/27/23,MIA,BOS
10/27/23,TOR,CHI
10/27/23,HOU,SAS
10/27/23,BRK,DAL
10/27/23,LAC,UTA
10/27/23,ORL,POR
10/27/23,GSW,SAC
10/28/23,CHI,DET
10/28/23,MEM,WAS
10/28/23,NYK,NOP
10/28/23,IND,CLE
10/28/23,PHI,TOR
10/28/23,MIA,MIN
10/28/23,UTA,PHO
10/29/23,DEN,OKC
10/29/23,GSW,HOU
10/29/23,ATL,MIL
10/29/23,POR,PHI
10/29/23,SAS,LAC
10/29/23,LAL,SAC
10/30/23,CHI,IND
10/30/23,BOS,WAS
10/30/23,BRK,CHO
10/30/23,POR,TOR
10/30/23,MIN,ATL
10/30/23,DAL,MEM
10/30/23,MIA,MIL
10/30/23,GSW,NOP
10/30/23,DET,OKC
10/30/23,UTA,DEN
10/30/23,ORL,LAL
10/31/23,NYK,CLE
10/31/23,SAS,PHO
10/31/23,ORL,LAC
11/1/23,POR,DET
11/1/23,MIL,TOR
11/1/23,WAS,ATL
11/1/23,IND,BOS
11/1/23,BRK,MIA
11/1/23,CLE,NYK
11/1/23,NOP,OKC
11/1/23,CHO,HOU
11/1/23,DEN,MIN
11/1/23,CHI,DAL
11/1/23,MEM,UTA
11/1/23,SAC,GSW
11/1/23,LAC,LAL
11/2/23,TOR,PHI
11/2/23,DET,NOP
11/2/23,ORL,UTA
11/2/23,SAS,PHO
11/3/23,CLE,IND
11/3/23,NYK,MIL
11/3/23,BRK,CHI
11/3/23,WAS,MIA
11/3/23,GSW,OKC
11/3/23,DAL,DEN
11/3/23,MEM,POR
11/4/23,PHO,PHI
11/4/23,CHO,IND
11/4/23,ATL,NOP
11/4/23,LAL,ORL
11/4/23,BOS,BRK
11/4/23,SAC,HOU
11/4/23,UTA,MIN
11/4/23,CHI,DEN
11/5/23,PHO,DET
11/5/23,TOR,SAS
11/5/23,GSW,CLE
11/5/23,CHO,DAL
11/5/23,MEM,POR
11/6/23,GSW,DET
11/6/23,SAS,IND
11/6/23,DAL,ORL
11/6/23,WAS,PHI
11/6/23,MIL,BRK
11/6/23,LAL,MIA
11/6/23,LAC,NYK
11/6/23,UTA,CHI
11/6/23,SAC,HOU
11/6/23,BOS,MIN
11/6/23,ATL,OKC
11/6/23,NOP,DEN
11/8/23,WAS,CHO
11/8/23,UTA,IND
11/8/23,BOS,PHI
11/8/23,LAC,BRK
11/8/23,SAS,NYK
11/8/23,PHO,CHI
11/8/23,LAL,HOU
11/8/23,MIA,MEM
11/8/23,DET,MIL
11/8/23,NOP,MIN
11/8/23,CLE,OKC
11/8/23,TOR,DAL
11/8/23,GSW,DEN
11/8/23,POR,SAC
11/9/23,MIL,IND
11/9/23,ATL,ORL
11/10/23,PHI,DET
11/10/23,CHO,WAS
11/10/23,BRK,BOS
11/10/23,NOP,HOU
11/10/23,UTA,MEM
11/10/23,MIN,SAS
11/10/23,LAC,DAL
11/10/23,LAL,PHO
11/10/23,OKC,SAC
11/11/23,MIL,ORL
11/11/23,TOR,BOS
11/11/23,MIA,ATL
11/11/23,CLE,GSW
11/12/23,CHO,NYK
11/12/23,WAS,BRK
11/12/23,MEM,LAC
11/12/23,IND,PHI
11/12/23,DET,CHI
11/12/23,DEN,HOU
11/12/23,DAL,NOP
11/12/23,MIA,SAS
11/12/23,OKC,PHO
11/12/23,MIN,GSW
11/12/23,POR,LAL
11/13/23,NYK,BOS
11/13/23,WAS,TOR
11/13/23,CHI,MIL
11/13/23,CLE,SAC
11/14/23,MIA,CHO
11/14/23,ATL,DET
11/14/23,IND,PHI
11/14/23,ORL,BRK
11/14/23,SAS,OKC
11/14/23,DAL,NOP
11/14/23,POR,UTA
11/14/23,LAC,DEN
11/14/23,MIN,GSW
11/14/23,MEM,LAL
11/15/23,DAL,WAS
11/15/23,NYK,ATL
11/15/23,BOS,PHI
11/15/23,MIL,TOR
11/15/23,ORL,CHI
11/15/23,MIN,PHO
11/15/23,SAC,LAL
11/15/23,CLE,POR
11/16/23,BRK,MIA
11/16/23,OKC,GSW
11/17/23,MIL,CHO
11/17/23,NYK,WAS
11/17/23,PHI,ATL
11/17/23,DET,CLE
11/17/23,SAC,SAS
11/17/23,BOS,TOR
11/17/23,ORL,CHI
11/17/23,DEN,NOP
11/17/23,LAL,POR
11/17/23,PHO,UTA
11/17/23,HOU,LAC
11/18/23,NYK,CHO
11/18/23,MIN,NOP
11/18/23,MIA,CHI
11/18/23,DAL,MIL
11/18/23,MEM,SAS
11/18/23,OKC,GSW
11/19/23,PHI,BRK
11/19/23,DET,TOR
11/19/23,ORL,IND
11/19/23,DEN,CLE
11/19/23,SAC,DAL
11/19/23,BOS,MEM
11/19/23,PHO,UTA
11/19/23,OKC,POR
11/19/23,HOU,LAL
11/20/23,BOS,CHO
11/20/23,DEN,DET
11/20/23,MIL,WAS
11/20/23,MIA,CHI
11/20/23,NYK,MIN
11/20/23,SAC,NOP
11/20/23,LAC,SAS
11/20/23,HOU,GSW
11/21/23,TOR,ORL
11/21/23,IND,ATL
11/21/23,CLE,PHI
11/21/23,POR,PHO
11/21/23,UTA,LAL
11/22/23,WAS,CHO
11/22/23,DEN,ORL
11/22/23,BRK,ATL
11/22/23,MIL,BOS
11/22/23,MIA,CLE
11/22/23,TOR,IND
11/22/23,MEM,HOU
11/22/23,PHI,MIN
11/22/23,SAC,NOP
11/22/23,CHI,OKC
11/22/23,LAC,SAS
11/22/23,GSW,PHO
11/22/23,UTA,POR
11/22/23,DAL,LAL
11/24/23,BOS,ORL
11/24/23,PHO,MEM
11/24/23,MIA,NYK
11/24/23,CHI,TOR
11/24/23,DEN,HOU
11/24/23,DET,IND
11/24/23,WAS,MIL
11/24/23,SAC,MIN
11/24/23,SAS,GSW
11/24/23,NOP,LAC
11/25/23,PHI,OKC
11/25/23,MIA,BRK
11/25/23,ATL,WAS
11/25/23,LAL,CLE
11/25/23,NOP,UTA
11/25/23,DAL,LAC
11/26/23,POR,MIL
11/26/23,ATL,BOS
11/26/23,MIN,MEM
11/26/23,PHO,NYK
11/26/23,CHO,ORL
11/26/23,CHI,BRK
11/26/23,TOR,CLE
11/26/23,SAS,DEN
11/27/23,WAS,DET
11/27/23,POR,IND
11/27/23,LAL,PHI
11/27/23,NOP,UTA
11/27/23,DEN,LAC
11/28/23,CHI,BOS
11/28/23,TOR,BRK
11/28/23,ATL,CLE
11/28/23,MIL,MIA
11/28/23,CHO,NYK
11/28/23,OKC,MIN
11/28/23,HOU,DAL
11/28/23,GSW,SAC
11/29/23,LAL,DET
11/29/23,WAS,ORL
11/29/23,PHO,TOR
11/29/23,UTA,MEM
11/29/23,PHI,NOP
11/29/23,HOU,DEN
11/29/23,LAC,SAC
11/30/23,POR,CLE
11/30/23,CHO,BRK
11/30/23,IND,MIA
11/30/23,DET,NYK
11/30/23,MIL,CHI
11/30/23,UTA,MIN
11/30/23,LAL,OKC
11/30/23,ATL,SAS
11/30/23,LAC,GSW
12/1/23,WAS,ORL
12/1/23,PHI,BOS
12/1/23,MEM,DAL
12/1/23,NYK,TOR
12/1/23,SAS,NOP
12/1/23,DEN,PHO
12/2/23,GSW,LAC
12/2/23,MIN,CHO
12/2/23,ORL,BRK
12/2/23,CLE,DET
12/2/23,NOP,CHI
12/2/23,IND,MIA
12/2/23,ATL,MIL
12/2/23,OKC,DAL
12/2/23,MEM,PHO
12/2/23,POR,UTA
12/2/23,DEN,SAC
12/2/23,HOU,LAL
12/11/23,MIA,CHO
12/11/23,IND,DET
12/11/23,CLE,ORL
12/11/23,WAS,PHI
12/11/23,DEN,ATL
12/11/23,TOR,NYK
12/11/23,SAS,HOU
12/11/23,DAL,MEM
12/11/23,CHI,MIL
12/11/23,MIN,NOP
12/11/23,UTA,OKC
12/11/23,BRK,SAC
12/11/23,POR,LAC
12/12/23,CLE,BOS
12/12/23,LAL,DAL
12/12/23,DEN,CHI
12/12/23,GSW,PHO
12/12/23,SAC,LAC
12/13/23,PHI,DET
12/13/23,NOP,WAS
12/13/23,CHO,MIA
12/13/23,ATL,TOR
12/13/23,MEM,HOU
12/13/23,IND,MIL
12/13/23,LAL,SAS
12/13/23,BRK,PHO
12/13/23,NYK,UTA
12/14/23,CLE,BOS
12/14/23,CHI,MIA
12/14/23,MIN,DAL
12/14/23,BRK,DEN
12/14/23,UTA,POR
12/14/23,OKC,SAC
12/14/23,GSW,LAC
12/15/23,NOP,CHO
12/15/23,DET,PHI
12/15/23,IND,WAS
12/15/23,ORL,BOS
12/15/23,LAL,SAS
12/15/23,ATL,TOR
12/15/23,HOU,MEM
12/15/23,NYK,PHO
12/16/23,DET,MIL
12/16/23,PHI,CHO
12/16/23,ATL,CLE
12/16/23,CHI,MIA
12/16/23,IND,MIN
12/16/23,BRK,GSW
12/16/23,OKC,DEN
12/16/23,DAL,POR
12/16/23,UTA,SAC
12/16/23,NYK,LAC
12/17/23,ORL,BOS
12/17/23,NOP,SAS
12/17/23,HOU,MIL
12/17/23,WAS,PHO
12/17/23,GSW,POR
12/18/23,HOU,CLE
12/18/23,LAC,IND
12/18/23,CHI,PHI
12/18/23,DET,ATL
12/18/23,MIN,MIA
12/18/23,CHO,TOR
12/18/23,MEM,OKC
12/18/23,DAL,DEN
12/18/23,BRK,UTA
12/18/23,WAS,SAC
12/18/23,NYK,LAL
12/19/23,MEM,NOP
12/19/23,SAS,MIL
12/19/23,BOS,GSW
12/19/23,PHO,POR
12/20/23,UTA,CLE
12/20/23,CHO,IND
12/20/23,MIA,ORL
12/20/23,MIN,PHI
12/20/23,NYK,BRK
12/20/23,DEN,TOR
12/20/23,LAL,CHI
12/20/23,ATL,HOU
12/20/23,LAC,DAL
12/20/23,BOS,SAC
12/21/23,UTA,DET
12/21/23,NOP,CLE
12/21/23,SAS,CHI
12/21/23,IND,MEM
12/21/23,ORL,MIL
12/21/23,LAC,OKC
12/21/23,LAL,MIN
12/21/23,WAS,POR
12/22/23,DEN,BRK
12/22/23,TOR,PHI
12/22/23,DAL,HOU
12/22/23,ATL,MIA
12/22/23,WAS,GSW
12/22/23,PHO,SAC
12/23/23,MIL,NYK
12/23/23,BOS,LAC
12/23/23,DEN,CHO
12/23/23,ORL,IND
12/23/23,HOU,NOP
12/23/23,MEM,ATL
12/23/23,DET,BRK
12/23/23,UTA,TOR
12/23/23,CLE,CHI
12/23/23,LAL,OKC
12/23/23,SAS,DAL
12/23/23,POR,GSW
12/23/23,MIN,SAC
12/25/23,MIL,NYK
12/25/23,GSW,DEN
12/25/23,BOS,LAL
12/25/23,PHI,MIA
12/25/23,DAL,PHO
12/26/23,BRK,DET
12/26/23,ORL,WAS
12/26/23,ATL,CHI
12/26/23,IND,HOU
12/26/23,MEM,NOP
12/26/23,MIN,OKC
12/26/23,UTA,SAS
12/26/23,SAC,POR
12/26/23,CHO,LAC
12/27/23,PHI,ORL
12/27/23,TOR,WAS
12/27/23,MIL,BRK
12/27/23,PHO,HOU
12/27/23,NYK,OKC
12/27/23,CLE,DAL
12/28/23,DET,BOS
12/28/23,IND,CHI
12/28/23,DAL,MIN
12/28/23,UTA,NOP
12/28/23,MEM,DEN
12/28/23,MIA,GSW
12/28/23,SAS,POR
12/28/23,CHO,LAL
12/29/23,NYK,ORL
12/29/23,BRK,WAS
12/29/23,SAC,ATL
12/29/23,TOR,BOS
12/29/23,MIL,CLE
12/29/23,PHI,HOU
12/29/23,OKC,DEN
12/29/23,CHO,PHO
12/29/23,SAS,POR
12/29/23,MEM,LAC
12/30/23,MIA,UTA
12/30/23,TOR,DET
12/30/23,NYK,IND
12/30/23,PHI,CHI
12/30/23,LAL,MIN
12/30/23,DAL,GSW
12/31/23,ATL,WAS
12/31/23,LAL,NOP
12/31/23,BRK,OKC
12/31/23,BOS,SAS
12/31/23,SAC,MEM
12/31/23,ORL,PHO
1/1/24,MIN,NYK
1/1/24,CLE,TOR
1/1/24,DET,HOU
1/1/24,IND,MIL
1/1/24,CHO,DEN
1/1/24,POR,PHO
1/1/24,DAL,UTA
1/1/24,MIA,LAC
1/2/24,CHI,PHI
1/2/24,SAS,MEM
1/2/24,BRK,NOP
1/2/24,BOS,OKC
1/2/24,ORL,GSW
1/2/24,CHO,SAC
1/3/24,WAS,CLE
1/3/24,MIL,IND
1/3/24,OKC,ATL
1/3/24,BRK,HOU
1/3/24,TOR,MEM
1/3/24,NOP,MIN
1/3/24,POR,DAL
1/3/24,CHI,NYK
1/3/24,LAC,PHO
1/3/24,DET,UTA
1/3/24,MIA,LAL
1/3/24,ORL,SAC
1/4/24,MIL,SAS
1/4/24,DEN,GSW
1/5/24,UTA,BOS
1/5/24,ATL,IND
1/5/24,OKC,BRK
1/5/24,WAS,CLE
1/5/24,NYK,PHI
1/5/24,CHO,CHI
1/5/24,MIN,HOU
1/5/24,LAC,NOP
1/5/24,POR,DAL
1/5/24,ORL,DEN
1/5/24,MIA,PHO
1/5/24,DET,GSW
1/5/24,MEM,LAL
1/5/24,TOR,SAC
1/6/24,BOS,IND
1/6/24,NYK,WAS
1/6/24,UTA,PHI
1/6/24,MIL,HOU
1/7/24,SAS,CLE
1/7/24,POR,BRK
1/7/24,ATL,ORL
1/7/24,NOP,SAC
1/7/24,MIN,DAL
1/7/24,DET,DEN
1/7/24,MEM,PHO
1/7/24,TOR,GSW
1/7/24,LAC,LAL
1/8/24,CHI,CHO
1/8/24,BOS,IND
1/8/24,OKC,WAS
1/8/24,HOU,MIA
1/8/24,UTA,MIL
1/8/24,PHO,LAC
1/9/24,SAC,DET
1/9/24,MIN,ORL
1/9/24,POR,NYK
1/9/24,MEM,DAL
1/9/24,TOR,LAL
1/10/24,MIN,BOS
1/10/24,SAC,CHO
1/10/24,SAS,DET
1/10/24,WAS,IND
1/10/24,PHI,ATL
1/10/24,OKC,MIA
1/10/24,HOU,CHI
1/10/24,NOP,GSW
1/10/24,DEN,UTA
1/10/24,TOR,LAC
1/11/24,BRK,CLE
1/11/24,BOS,MIL
1/11/24,POR,OKC
1/11/24,NYK,DAL
1/11/24,PHO,LAL
