,TEAM,WT,LT,TIE_PC,PT_DIFF,WP,EXPECTED_WIN,EXPECTED_WP,WT_v_WP,WT_v_EXP_WP
0,ATL,0.4652777778666667,0.47923611115555553,0.0554861109777778,3.1,0.462,48.4,0.5902439024390244,0.0032777778666666646,-0.12496612457235767
1,BOS,0.743287037,0.20057870366666666,0.056134259333333304,11.9,0.7859999999999999,66.8,0.8146341463414634,-0.04271296299999994,-0.07134710934146338
2,BRK,0.5944444443333333,0.3445601853333333,0.060995370333333354,-0.7,0.462,39.3,0.4792682926829268,0.1324444443333333,0.11517615165040651
3,CHI,0.23154972475,0.6756977202500001,0.09275255499999999,-4.8,0.33299999999999996,29.0,0.35365853658536583,-0.10145027524999997,-0.12210881183536584
4,CHO,0.13958333333333334,0.8037037036666667,0.056712963000000026,-8.1,0.308,22.5,0.27439024390243905,-0.16841666666666666,-0.1348069105691057
5,CLE,0.3449052236939203,0.5845846436243884,0.0705101326816912,0.9,0.5710000000000001,43.2,0.526829268292683,-0.22609477630607977,-0.18192404459876266
6,DAL,0.447337963,0.4671296296666667,0.08553240733333327,2.8,0.643,47.7,0.5817073170731708,-0.195662037,-0.1343693540731708
7,DEN,0.9508680555,0.023697916500000003,0.025434028000000025,3.8,0.7140000000000001,50.5,0.6158536585365854,0.2368680554999999,0.3350143969634146
8,DET,0.48359374975,0.48003472225,0.036371528000000014,-7.9,0.133,22.3,0.27195121951219514,0.35059374975,0.21164253023780488
9,GSW,0.6000868054999999,0.29618055525,0.10373263925000004,0.4,0.467,42.0,0.5121951219512195,0.1330868054999999,0.08789168354878041
10,HOU,0.293645178,0.6129149196666667,0.09343990233333337,5.0,0.5,53.4,0.651219512195122,-0.206354822,-0.35757433419512197
11,IND,0.5546006946944444,0.37239583333333337,0.0730034719722222,0.6,0.615,42.4,0.5170731707317073,-0.060399305305555595,0.037527523962737064
12,LAC,0.5802777777777777,0.3829861111333333,0.03673611108888897,4.2,0.41700000000000004,51.5,0.6280487804878049,0.16327777777777763,-0.04777100271002721
13,LAL,0.3338508907555556,0.6259080189999999,0.040241090244444465,0.5,0.6,42.3,0.5158536585365854,-0.2661491092444444,-0.1820027677810298
14,MEM,0.14314236075,0.81423611075,0.04262152849999998,-4.7,0.231,29.1,0.35487804878048784,-0.08785763925000001,-0.21173568803048784
15,MIA,0.467361111,0.47769097225,0.05494791675000002,0.3,0.643,41.7,0.5085365853658537,-0.17563888900000002,-0.04117547436585367
16,MIL,0.5494212963333333,0.40081018499999993,0.049768518666666685,2.2,0.7140000000000001,46.2,0.5634146341463415,-0.16457870366666683,-0.013993337813008266
17,MIN,0.503935185,0.4427083336666667,0.05335648133333337,8.1,0.769,60.4,0.7365853658536585,-0.265064815,-0.23265018085365852
18,NOP,0.6004629626666667,0.35254629600000004,0.04699074133333333,-2.0,0.5,35.9,0.4378048780487805,0.10046296266666666,0.16265808461788617
19,NYK,0.5802083333555555,0.36173611093333335,0.058055555711111206,4.7,0.5710000000000001,52.6,0.6414634146341464,0.009208333355555487,-0.061255081278590806
20,OKC,0.6052083335,0.3385416665,0.05625000000000002,9.0,0.7140000000000001,61.6,0.751219512195122,-0.10879166650000005,-0.14601117869512192
21,ORL,0.7186921297037037,0.22870370364814815,0.05260416664814821,4.7,0.643,52.9,0.6451219512195122,0.07569212970370365,0.07357017848419145
22,PHI,0.38972418749213833,0.5447015853742139,0.06557422713364777,9.0,0.7140000000000001,61.3,0.7475609756097561,-0.32427581250786175,-0.35783678811761777
23,PHO,0.8592013888518518,0.09265046296296296,0.04814814818518517,3.3,0.5710000000000001,49.1,0.598780487804878,0.28820138885185176,0.2604209010469738
24,POR,0.14298611117777776,0.8031249998888889,0.053888888933333344,-11.3,0.214,15.8,0.1926829268292683,-0.07101388882222223,-0.049696815651490533
25,SAC,0.7023235496666667,0.247737596,0.04993885433333337,-1.0,0.615,38.4,0.46829268292682924,0.08732354966666667,0.23403086673983742
26,SAS,0.17802672957777776,0.7601454403333333,0.06182783008888888,-12.6,0.214,14.5,0.17682926829268292,-0.03597327042222223,0.0011974612850948474
27,TOR,0.4103498428,0.5303092243111112,0.059340932888888885,-1.5,0.429,37.1,0.4524390243902439,-0.018650157200000017,-0.04208918159024394
28,UTA,0.18902777799999998,0.7853472221555555,0.02562499984444444,-6.6,0.28600000000000003,25.6,0.3121951219512195,-0.09697222200000005,-0.12316734395121953
29,WAS,0.3862268516666667,0.577662037,0.036111111333333334,-10.9,0.154,17.6,0.21463414634146344,0.2322268516666667,0.17159270532520327
